id,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target
0,13.049999999999999,0.3999999999999999,2.4,21.68,71.78999999999999,2.33,1.8699999999999999,0.09,1.3000000000000003,1.0699999999999998,1.1300000000000001,2.45,96.79000000000002,1
1,13.01,3.66,2.21,16.53,98.87,2.46,2.34,0.28,1.49,3.6900000000000004,0.75,2.79,588.86,0
2,13.13,1.1400000000000001,2.32,18.75,108.51,2.63,2.26,0.13,2.1500000000000004,5.03,0.86,2.6599999999999997,954.8,0
3,12.059999999999999,1.4100000000000001,2.04,16.58,73.52,0.8399999999999999,-0.36,0.37,0.14,7.869999,0.36999999999999994,1.0099999999999998,194.88,2
4,12.35,1.14,1.91,19.520000000000003,77.65,2.09,1.98,0.27,1.03,4.62,1.11,3.46,502.23,1
5,12.57,1.06,1.8800000000000001,10.41,83.5,2.35,2.68,0.1,2.5700000000000003,5.82,0.9800000000000001,2.49,962.49,0
6,10.68,-0.27,2.25,17.98,75.1,1.9100000000000001,1.1099999999999999,0.31,0.9199999999999999,0.9900000000000002,0.8900000000000001,1.67,149.54000000000002,1
7,11.45,1.76,2.2199999999999998,17.3,95.02,2.89,2.05,0.14,1.23,2.77,1.1099999999999999,2.81,279.36,1
8,12.7,3.55,2.36,21.5,105.98,1.7,1.2,0.17,0.84,5.0,0.78,1.29,599.59,2
9,13.08,0.7899999999999998,2.32,11.7,86.91,2.63,2.5700000000000003,0.05000000000000002,1.14,3.1399999999999997,0.65,2.8600000000000003,784.26,0
10,12.309999999999999,2.79,1.82,14.09,71.84,1.27,0.68,0.36,0.49999999999999994,2.07,0.57,1.7100000000000002,191.98,1
11,11.629999999999999,1.4699999999999998,2.0,18.759999999999998,76.16,1.0699999999999998,0.8700000000000001,0.54,0.8699999999999999,0.4500000000000002,0.64,2.61,9.800000000000011,1
12,11.68,2.5700000000000003,2.89,19.66,101.54,1.69,1.9299999999999997,0.59,0.99,3.5599999999999996,1.21,2.43,574.84,1
13,14.040000000000001,2.12,2.6,17.51,120.6,2.58,2.48,0.31,1.23,4.9799999999999995,1.05,3.56,1286.11,0
14,11.6,0.44999999999999996,1.75,13.14,72.77,2.01,1.65,0.18,1.28,0.9199999999999999,1.03,2.1300000000000003,158.45,1
15,11.89,0.88,1.77,17.95,74.07,1.7200000000000002,1.16,0.22,1.04,1.17,0.87,3.03,431.07,1
16,12.66,0.84,1.9200000000000002,14.379999999999999,82.78999999999999,1.91,1.41,0.17,0.9000000000000001,2.13,0.8400000000000001,2.21,1037.74,0
17,12.85,2.6,2.2199999999999998,19.57,83.76,1.5699999999999998,0.18000000000000005,0.38,0.9199999999999999,7.08,0.42000000000000004,1.2100000000000002,468.4,2
18,12.959999999999999,4.04,2.13,17.27,80.31,1.49,-0.019999999999999907,0.37,0.55,2.5000000000000004,0.72,1.4699999999999998,292.31,2
19,13.540000000000001,4.57,2.12,18.6,74.03,0.72,-0.07999999999999996,0.35000000000000003,0.44000000000000006,3.9300000000000006,0.48,1.03,283.41999999999996,2
20,13.67,3.2300000000000004,2.32,10.94,118.34,2.58,2.36,0.12000000000000001,1.69,3.5299999999999994,0.74,3.05,547.11,0
21,12.63,0.72,2.3600000000000003,12.96,79.57,2.2600000000000002,2.0,0.22000000000000003,0.9099999999999999,2.6199999999999997,0.7100000000000001,2.5500000000000003,898.98,0
22,14.06,0.78,2.16,8.55,78.81,2.5700000000000003,2.84,0.32,2.3200000000000003,3.4200000000000004,1.05,2.12,881.3399999999999,0
23,12.23,0.85,2.16,16.35,80.07,1.78,0.23999999999999994,0.5599999999999999,1.05,4.65,0.67,1.26,541.31,2
24,12.87,4.7700000000000005,2.2199999999999998,20.75,87.64,1.51,0.26,0.5599999999999999,1.34,7.03,0.51,1.21,606.85,2
25,12.93,3.9499999999999997,2.6999999999999997,23.07,103.73,1.62,0.38,0.2,0.78,7.16,0.54,1.51,447.61,2
26,13.440000000000001,1.2799999999999998,2.44,13.19,93.25,2.91,3.02,0.1,1.39,4.17,0.76,3.17,924.06,0
27,12.09,2.54,2.52,25.54,90.74,1.63,0.13999999999999996,0.58,0.8899999999999999,6.48,0.5700000000000001,1.42,742.0699999999999,2
28,12.09,1.1500000000000001,2.08,21.12,102.11,1.74,1.68,0.29000000000000004,1.37,1.1,0.9700000000000001,2.67,215.07,1
29,13.52,0.8800000000000001,2.15,14.6,92.0,2.7199999999999998,2.73,0.16999999999999998,1.61,6.25,0.91,3.25,912.7,0
30,12.879999999999999,2.29,2.5,20.88,85.8,1.06,-0.26,0.4,0.10000000000000003,2.5299999999999994,0.71,1.5,272.97,2
31,14.200000000000001,3.34,2.2199999999999998,15.25,98.79,3.11,2.9499999999999997,0.24000000000000002,2.06,4.380000000000001,0.99,3.28,994.23,0
32,12.92,2.25,2.29,18.98,115.63,1.46,0.37000000000000005,0.49000000000000005,1.28,8.59,0.53,1.4000000000000001,743.59,2
33,12.92,3.6799999999999997,2.28,21.96,82.71,1.5499999999999998,1.4300000000000002,0.59,1.53,4.43,0.7999999999999999,1.8999999999999997,464.55,1
34,11.68,2.33,2.0,15.49,77.25,2.38,2.24,0.36,2.38,0.5499999999999998,1.25,2.3,168.88,1
35,13.81,1.5499999999999998,2.0900000000000003,15.62,99.36,3.0300000000000002,3.2800000000000002,0.19999999999999998,2.0700000000000003,5.83,0.88,3.25,948.83,0
36,11.32,0.07999999999999985,2.25,20.86,64.57,1.4100000000000001,0.6400000000000001,0.28,0.8599999999999999,0.020000000000000018,1.1,2.0500000000000003,333.93,1
37,13.29,0.88,2.54,17.55,123.65,2.58,2.16,0.43,1.02,4.04,1.12,2.58,1050.82,0
38,11.99,0.98,1.8599999999999999,18.07,88.02,2.19,1.76,0.36,1.9200000000000002,2.0500000000000003,0.8,2.82,224.35,1
39,11.43,1.73,2.2199999999999998,17.22,94.68,2.87,2.03,0.14,1.2200000000000002,2.71,1.1099999999999999,2.8,271.84000000000003,1
40,11.9,0.89,1.77,17.98,74.22,1.7300000000000002,1.17,0.23,1.05,1.19,0.87,3.03,434.21000000000004,1
41,12.03,0.58,2.09,15.53,76.58,1.63,-0.010000000000000009,0.53,0.9099999999999999,4.08,0.62,1.09,464.34000000000003,2
42,13.14,2.63,2.5,22.53,116.72,1.1199999999999999,1.1300000000000001,0.16999999999999998,1.0,7.58,0.49,0.99,361.44,2
43,14.020000000000001,3.77,2.37,18.099999999999998,107.58,2.7,2.41,0.27,1.1099999999999999,4.68,0.82,3.16,1004.55,0
44,13.35,1.3499999999999999,2.28,18.17,102.01,2.69,2.91,0.19,1.79,6.25,1.03,2.6799999999999997,1426.97,0
45,12.08,2.35,2.05,16.44,74.92,0.91,-0.25,0.29000000000000004,0.44999999999999996,8.14,0.51,1.1,396.57,2
46,13.64,1.38,2.5300000000000002,16.4,90.59,2.3000000000000003,2.75,0.19,2.15,5.05,1.19,3.2,1189.73,0
47,11.260000000000002,3.46,1.75,18.67,103.44,3.02,2.33,0.21,3.44,2.32,0.69,2.63,483.49,1
48,13.98,3.04,2.1399999999999997,14.36,94.97,2.94,2.6799999999999997,0.21000000000000002,1.91,3.7600000000000007,0.93,3.09,909.9,0
49,11.35,1.25,2.52,24.75,82.63,1.68,1.23,0.35000000000000003,1.12,1.73,1.27,2.94,443.69,1
50,11.06,1.82,1.97,14.8,98.31,1.12,0.3600000000000001,0.31,0.3999999999999999,0.4299999999999997,0.74,1.8399999999999999,198.2,1
51,10.680000000000001,2.67,1.56,16.29,93.28,2.58,1.62,0.12,3.0300000000000002,0.6699999999999999,0.53,2.13,259.55,1
52,11.44,0.33999999999999997,2.44,16.35,86.93,1.8900000000000001,1.72,0.16,2.0700000000000003,1.9,0.68,2.73,364.14,1
53,12.69,2.75,2.56,23.37,98.31,2.1999999999999997,0.41,0.51,0.7000000000000001,4.4799999999999995,0.85,2.02,530.73,2
54,12.12,0.86,2.47,17.060000000000002,93.57,2.23,2.34,0.33,1.9000000000000001,3.88,1.1199999999999999,2.0799999999999996,580.36,1
55,11.84,2.55,2.06,16.14,80.03,2.5,2.43,0.38,2.49,1.0099999999999998,1.29,2.43,230.19,1
56,12.03,1.0499999999999998,1.89,14.93,80.43,2.3499999999999996,2.18,0.24999999999999997,1.59,2.16,1.16,2.5100000000000002,327.22,1
57,12.02,0.45999999999999996,1.2400000000000002,9.15,81.82,1.71,0.13999999999999996,0.23000000000000004,0.16999999999999998,0.95,0.9500000000000001,1.51,383.7,1
58,12.68,1.51,2.26,20.64,79.76,1.3699999999999999,1.44,0.58,1.61,3.01,0.96,2.0500000000000003,489.79,1
59,12.44,2.58,1.91,18.03,89.28999999999999,0.94,-0.33999999999999997,0.32,0.79,1.94,0.39999999999999997,1.0499999999999998,549.69,2
60,11.92,3.7499999999999996,2.56,24.46,93.28,1.8200000000000003,1.52,0.35,1.3599999999999999,0.6700000000000002,0.78,2.69,172.81,1
61,12.93,1.31,2.0500000000000003,14.93,95.55,2.29,2.47,0.26,1.27,3.3000000000000003,1.14,2.57,965.99,0
62,11.87,2.2600000000000002,2.08,16.29,80.69,2.1300000000000003,1.74,0.19,1.7,0.96,1.0299999999999998,2.94,128.72,1
63,12.73,1.77,2.52,16.830000000000002,93.45,2.4699999999999998,2.71,0.22999999999999998,2.5100000000000002,4.449999999999999,0.91,2.79,1018.44,0
64,12.299999999999999,2.9899999999999998,2.2199999999999998,19.83,98.88,1.39,0.7,0.11000000000000001,0.55,3.84,0.67,0.9400000000000001,442.98,2
65,12.3,2.66,2.13,17.38,78.94,1.08,0.030000000000000027,0.32,0.61,8.79,0.57,1.3,485.18,2
66,13.690000000000001,1.45,2.6900000000000004,22.36,100.38,2.97,3.21,0.27999999999999997,2.36,5.6000000000000005,1.18,2.68,1271.34,0
67,11.459999999999999,3.7399999999999998,2.25,19.31,74.75,2.54,2.5199999999999996,0.15,2.62,1.6199999999999999,0.63,3.2800000000000002,220.23,1
68,12.46,0.9500000000000001,1.9000000000000001,14.55,96.53,2.54,2.27,0.19000000000000003,1.6099999999999999,3.34,0.71,2.83,654.26,0
69,13.24,1.3199999999999998,2.16,22.98,82.65,1.69,1.54,0.23,0.86,3.0300000000000002,0.9099999999999999,2.5599999999999996,376.13,1
70,13.5,3.14,2.7100000000000004,23.41,96.64,1.53,0.49,0.5,0.54,4.29,0.88,2.04,511.96,2
71,11.129999999999999,0.6900000000000001,2.54,18.03,85.59,2.37,2.33,0.21999999999999997,2.1500000000000004,1.2899999999999998,0.83,2.84,494.66999999999996,1
72,12.97,3.75,2.32,21.04,111.04,1.3199999999999998,1.25,0.32,1.0599999999999998,9.08,0.5399999999999999,1.23,506.87,2
73,12.229999999999999,1.44,2.25,23.93,85.57,2.1100000000000003,2.2800000000000002,0.38,1.7999999999999998,1.73,0.85,2.6599999999999997,288.44,1
74,12.72,0.9299999999999999,1.9500000000000002,14.629999999999999,83.87,1.96,1.48,0.18000000000000002,0.9400000000000002,2.3100000000000005,0.86,2.27,1061.65,0
75,13.610000000000001,1.0099999999999998,2.13,14.129999999999999,118.02,2.65,2.61,0.16999999999999998,1.78,4.3500000000000005,0.9600000000000001,3.31,604.04,0
76,12.79,1.77,2.16,17.65,78.95,0.96,-0.19999999999999996,0.28,0.24,3.9699999999999998,0.5399999999999999,1.9700000000000002,558.35,2
77,13.96,1.33,2.3400000000000003,14.469999999999999,122.19,2.59,2.72,0.24000000000000002,2.1,4.859999999999999,0.9600000000000001,3.6799999999999997,958.92,0
78,12.27,0.8800000000000001,1.7899999999999998,17.13,82.12,1.19,0.9500000000000002,0.24,1.11,1.5000000000000002,0.9500000000000001,2.48,432.37,1
79,12.27,0.81,2.32,15.43,84.85,2.04,1.6600000000000001,0.17,1.05,2.2800000000000002,0.93,3.13,791.16,0
80,11.4,0.3900000000000001,2.07,20.790000000000003,57.99,1.6700000000000002,0.7500000000000001,0.31999999999999995,0.8999999999999999,-0.20999999999999996,0.8800000000000001,2.61,360.1,1
81,13.48,1.1,1.98,14.26,93.58,2.77,2.87,0.15,1.84,4.89,0.79,2.96,821.31,0
82,13.41,3.02,2.68,23.06,95.13,1.47,0.39,0.48,0.47000000000000003,4.05,0.86,1.97,478.69,2
83,13.75,0.9900000000000001,2.23,11.98,84.8,2.01,1.74,0.19999999999999998,1.53,3.4299999999999997,0.8400000000000001,3.02,1042.96,0
84,12.68,1.25,2.5,28.74,133.6,3.0599999999999996,2.5100000000000002,0.15999999999999998,1.74,2.47,1.22,3.23,865.88,1
85,13.59,2.5,2.01,12.75,88.09,2.64,2.2,0.15000000000000002,1.63,2.6400000000000006,0.8200000000000001,2.75,758.23,0
86,12.79,2.89,2.59,23.79,100.08,2.28,0.54,0.52,0.77,4.77,0.88,2.1,569.82,2
87,11.84,4.27,2.3800000000000003,20.89,81.51,2.84,3.0,0.21,2.89,2.7199999999999998,0.74,3.62,369.29,1
88,12.379999999999999,0.8999999999999999,2.5,22.52,103.24,1.6400000000000001,0.39,0.15000000000000002,1.05,5.029999999999999,0.41,0.7000000000000001,143.70999999999998,2
89,12.28,5.17,2.56,23.97,91.6,1.6,0.29,0.59,0.9200000000000002,4.29,0.75,1.47,417.95,2
90,13.0,0.8399999999999999,2.42,13.940000000000001,101.5,2.41,1.85,0.27,1.14,4.109999999999999,0.9099999999999999,2.2600000000000002,1077.35,0
91,12.45,1.9500000000000002,2.17,18.19,80.38,1.14,0.12,0.43,0.41000000000000003,8.989999,0.48,1.3499999999999999,346.17,2
92,12.65,3.5699999999999994,2.61,21.92,98.85,1.4,0.039999999999999925,0.16000000000000003,0.5800000000000001,6.37,0.4600000000000001,1.27,340.0,2
93,12.51,1.52,2.1300000000000003,17.94,82.33,2.04,2.2699999999999996,0.23,1.62,3.3,1.0999999999999999,2.96,633.03,1
94,11.95,0.51,2.01,17.64,66.9,0.8099999999999999,0.5399999999999999,0.47,1.09,0.9199999999999999,0.75,1.4100000000000001,206.11,1
95,11.82,0.24,1.84,16.88,89.64,0.89,-0.3500000000000001,0.41000000000000003,0.8599999999999999,5.43,0.37,0.89,345.42,2
96,11.84,1.75,1.6199999999999999,16.53,92.84,2.05,1.88,0.22,1.23,2.6199999999999997,1.2,2.75,618.21,1
97,13.05,1.65,2.55,18.0,97.98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1104.58,0
98,12.29,0.83,1.33,10.26,86.56,1.92,0.47,0.27,0.36,1.72,1.03,1.75,488.25,1
99,12.81,2.65,1.96,16.7,76.01,1.09,-0.36,0.48,0.4,3.75,0.6200000000000001,1.2200000000000002,315.57,2
100,11.41,1.5299999999999998,1.8299999999999998,14.95,92.52,1.4100000000000001,1.26,0.30000000000000004,0.97,3.07,1.16,1.9200000000000002,329.22,1
101,12.180000000000001,2.0200000000000005,2.16,17.11,91.65,0.76,0.36,0.13,0.33999999999999997,3.4000000000000004,0.54,0.8099999999999999,257.8,2
102,13.6,0.93,2.25,12.729999999999999,101.45,2.81,2.6500000000000004,0.25,1.55,5.04,0.88,2.33,1217.41,0
103,13.13,1.12,2.16,14.43,109.42,2.82,2.76,0.27,2.04,4.9,0.83,3.0,627.96,0
104,13.26,3.72,2.43,22.43,99.57,1.69,0.58,0.41,1.3099999999999998,6.91,0.6599999999999999,1.44,696.4,2
105,12.63,1.63,2.4899999999999998,16.42,91.69,2.3899999999999997,2.5900000000000003,0.21999999999999997,2.44,4.17,0.88,2.71,979.72,0
106,13.700000000000001,1.1,2.52,17.54,109.46000000000001,2.34,2.4000000000000004,0.24000000000000002,1.55,4.49,0.9,2.13,1047.66,0
107,12.12,3.0700000000000003,2.1999999999999997,20.61,90.8,2.38,1.8399999999999999,0.33999999999999997,1.54,0.9099999999999999,1.03,2.62,238.04,1
108,13.26,1.0099999999999998,2.09,14.439999999999998,109.6,2.23,2.31,0.13999999999999999,1.28,4.489999999999999,0.79,2.7800000000000002,874.75,0
109,12.77,2.64,2.47,21.9,111.58,1.46,1.33,0.24,1.24,10.73,0.47,1.45,470.71,2
110,11.829999999999998,0.3899999999999999,1.9800000000000002,16.78,77.49,3.08,2.43,0.11,1.4900000000000002,2.91,1.07,2.4000000000000004,210.22,1
111,12.76,0.79,2.36,16.96,82.99,1.96,1.6999999999999997,0.17000000000000004,1.14,1.4100000000000001,0.9100000000000001,3.17,558.14,0
112,11.18,1.8800000000000001,2.7199999999999998,17.61,92.78,1.3,1.3099999999999998,0.51,0.6400000000000001,2.1399999999999997,1.07,1.99,381.56,1
113,11.98,1.01,1.8,18.34,75.75,1.7900000000000003,1.27,0.24,1.1099999999999999,1.44,0.89,3.11,468.01,1
114,13.17,1.24,2.5300000000000002,21.22,83.53,2.3600000000000003,0.7200000000000001,0.47000000000000003,2.07,10.86,0.48,1.51,499.46,2
115,12.86,2.1599999999999997,2.2600000000000002,18.72,114.51,1.41,0.30000000000000004,0.48000000000000004,1.24,8.41,0.51,1.35,719.03,2
116,11.69,0.51,2.04,18.46,72.99,2.1700000000000004,2.2399999999999998,0.28,1.25,1.83,0.48,2.19,65.20999999999998,1
117,13.58,0.91,2.24,12.66,101.14,2.79,2.63,0.25,1.53,4.99,0.88,2.31,1210.55,0
118,11.69,0.09999999999999998,1.73,12.15,124.66,1.4,1.06,0.24999999999999997,2.3099999999999996,1.5599999999999998,0.8800000000000001,1.75,499.97,1
119,12.33,2.43,2.46,20.95,97.8,2.5500000000000003,2.1,0.34,1.3,2.77,0.8,3.37,433.56,1
120,12.42,1.09,1.8399999999999999,17.75,84.81,1.31,1.1400000000000001,0.26,1.2200000000000002,1.9300000000000002,0.99,2.61,491.75,1
121,13.24,1.29,2.35,19.18,110.34,2.71,2.38,0.15000000000000002,2.22,5.33,0.89,2.75,995.24,0
122,12.58,3.32,2.53,17.16,95.83,2.14,1.9800000000000002,0.2,1.73,3.5,0.93,3.21,633.99,0
123,13.92,1.2400000000000002,2.2199999999999998,10.1,93.89,2.94,3.0700000000000003,0.21999999999999997,2.63,6.18,1.0699999999999998,2.6,1368.08,0
124,12.99,1.9699999999999998,3.2,24.75,122.93,2.58,2.6100000000000003,0.45999999999999996,1.88,3.41,1.1099999999999999,3.1500000000000004,806.41,0
125,13.309999999999999,0.76,2.48,22.740000000000002,76.35,2.5300000000000002,2.19,0.13,1.48,1.8099999999999998,1.2100000000000002,2.68,197.21,1
126,10.399999999999999,0.64,1.9900000000000002,18.9,73.87,1.97,1.39,0.42000000000000004,1.5599999999999998,0.08999999999999986,1.53,2.3200000000000003,161.7,1
127,12.39,2.67,2.16,16.17,96.03999999999999,0.95,0.0,0.31000000000000005,0.5399999999999999,3.66,0.52,1.25,455.33000000000004,2
128,12.45,2.59,1.91,18.06,89.43,0.95,-0.32999999999999996,0.32,0.8,1.96,0.39999999999999997,1.06,552.8,2
129,11.61,0.8500000000000001,2.12,20.54,80.32,1.36,1.0099999999999998,0.35,1.17,0.8800000000000001,1.1800000000000002,1.7799999999999998,281.65999999999997,1
130,13.950000000000001,1.99,2.57,17.130000000000003,119.01,2.5100000000000002,2.3699999999999997,0.29,1.17,4.7299999999999995,1.03,3.48,1251.14,0
131,13.48,0.94,2.03,13.8,86.58,2.2399999999999998,1.67,0.18,1.6,3.17,0.89,3.12,827.35,0
132,12.04,0.6100000000000001,1.99,17.13,82.14,3.26,3.34,0.19,1.72,3.55,0.9500000000000001,2.48,530.87,1
133,12.13,0.6500000000000001,1.85,14.690000000000001,90.97,1.62,0.7799999999999999,0.45,0.26,4.28,0.84,1.1400000000000001,250.88,1
134,13.1,3.49,2.05,19.9,76.89,0.79,-0.31000000000000005,0.42000000000000004,0.7,4.82,0.6000000000000001,1.2,275.09000000000003,2
135,14.47,1.35,2.3000000000000003,10.27,86.15,2.89,3.35,0.39,2.62,4.61,1.17,2.49,1043.1,0
136,11.53,1.07,2.13,16.23,71.28999999999999,1.1700000000000002,0.82,0.44,1.25,0.8199999999999998,0.92,1.79,265.82,1
137,13.7,1.1300000000000001,2.21,15.33,95.13,2.85,2.9499999999999997,0.19,1.73,6.75,0.96,3.4099999999999997,981.69,0
138,12.79,2.62,2.6500000000000004,20.44,93.62,1.44,0.32999999999999996,0.51,0.65,4.21,0.73,2.19,547.43,2
139,13.26,1.22,2.25,17.78,100.35,2.61,2.79,0.16999999999999998,1.72,5.98,1.0,2.5999999999999996,1390.35,0
140,12.34,2.5700000000000003,2.41,19.91,97.03999999999999,1.2599999999999998,-0.030000000000000027,0.52,0.6,4.13,0.73,1.66,372.46000000000004,2
141,11.33,1.23,2.5100000000000002,24.7,82.42,1.68,1.2200000000000002,0.35000000000000003,1.12,1.69,1.27,2.9299999999999997,439.07,1
142,12.31,1.0299999999999998,2.97,21.94,110.9,2.06,1.7600000000000002,0.36,1.4,1.4500000000000002,0.9199999999999999,2.5500000000000003,541.1800000000001,0
143,12.5,4.1000000000000005,2.36,19.98,79.51,1.42,0.2,0.41,0.6,6.6000000000000005,0.44000000000000006,1.54,481.84000000000003,2
144,12.27,0.8099999999999999,1.33,10.2,86.27,1.9,0.44999999999999996,0.26,0.35,1.67,1.02,1.73,481.95,1
145,13.8,1.2799999999999998,2.19,14.95,121.51,2.8,2.86,0.19999999999999998,1.9200000000000002,4.92,1.02,3.4899999999999998,681.08,0
146,11.91,3.41,2.08,17.1,106.0,1.1199999999999999,0.36000000000000004,0.24,0.8999999999999999,7.240000000000001,0.55,1.7,722.65,2
147,11.17,1.4100000000000001,2.3,19.650000000000002,75.66,1.58,1.1099999999999999,0.41,1.02,1.4499999999999997,0.87,2.34,496.07,1
148,11.889999999999999,1.07,2.08,18.77,96.05,0.8,0.53,0.31,1.18,1.92,0.796,1.4700000000000002,716.67,1
149,10.559999999999999,0.87,2.04,19.58,76.78999999999999,2.1,1.6,0.45,1.6799999999999997,0.5699999999999998,1.58,2.46,225.97,1
150,11.41,0.46999999999999986,2.27,19.75,72.25,2.05,1.4700000000000002,0.32999999999999996,0.5700000000000001,0.99,0.74,2.61,125.95999999999998,1
151,12.14,0.72,1.88,14.0,132.58,1.75,1.61,0.31999999999999995,2.6199999999999997,2.84,1.01,2.14,674.56,1
152,13.29,0.8200000000000001,2.44,17.77,105.48,2.5300000000000002,2.73,0.32,1.3399999999999999,5.05,0.9799999999999999,2.0999999999999996,919.99,0
153,12.22,1.33,1.88,19.3,79.87,1.9800000000000002,1.56,0.28,1.27,2.11,0.9600000000000001,3.32,558.9300000000001,1
154,12.479999999999999,1.04,2.54,22.92,104.96000000000001,1.7200000000000002,0.51,0.16,1.12,5.31,0.43,0.78,181.49,2
155,13.5,1.78,2.65,18.95,109.79,2.3400000000000003,2.52,0.29,1.53,4.17,1.1,2.8600000000000003,1090.34,0
156,13.49,1.5799999999999996,2.25,17.23,79.14,1.16,-0.13,0.33999999999999997,0.76,7.779999999999999,0.43,1.12,398.54,2
157,12.290000000000001,1.2200000000000002,2.0500000000000003,17.02,78.39,1.87,1.9999999999999998,0.19,1.47,2.67,1.04,2.7600000000000002,546.29,1
158,11.91,1.59,2.26,17.78,77.93,1.4700000000000002,1.29,0.49,1.52,1.9,1.03,2.12,412.40999999999997,1
159,12.49,0.8300000000000001,2.19,16.46,115.4,1.22,0.79,0.15,0.6799999999999999,3.0299999999999994,0.65,0.96,484.59000000000003,2
160,12.99,2.79,2.27,20.15,86.24,1.68,0.36,0.4,1.02,7.49,0.4600000000000001,1.33,523.1,2
161,12.57,-0.1200000000000001,2.0999999999999996,13.83,96.43,1.94,0.3500000000000001,0.43000000000000005,-0.12000000000000005,0.9699999999999998,0.8,1.2599999999999998,450.7,1
162,12.19,2.36,2.36,19.27,94.35,1.14,-0.21999999999999997,0.5,0.49,3.6900000000000004,0.6799999999999999,1.5299999999999998,313.04,2
163,11.6,3.69,2.23,20.17,72.19,1.76,1.2,0.35,1.04,1.33,0.66,2.1799999999999997,407.77,1
164,11.9,0.74,2.0100000000000002,16.68,152.06,2.06,1.57,0.23,2.88,0.99,0.9999999999999999,2.1399999999999997,717.8,1
165,13.54,1.6300000000000001,2.31,16.61,101.46,2.31,2.51,0.39999999999999997,1.8699999999999999,3.4299999999999997,1.19,2.74,933.96,0
166,11.290000000000001,0.17000000000000004,2.07,18.259999999999998,89.28999999999999,2.87,1.3200000000000003,0.03,1.18,1.31,0.8,2.55,627.71,1
167,13.069999999999999,1.3499999999999999,2.77,14.64,106.32,2.44,2.42,0.31000000000000005,1.2100000000000002,3.9999999999999996,1.03,2.5999999999999996,798.96,0
168,12.93,2.05,2.59,17.67,97.0,2.6199999999999997,2.96,0.27,2.65,5.029999999999999,0.97,2.9699999999999998,1096.91,0
169,11.82,0.96,2.4099999999999997,17.54,97.78,1.6199999999999999,1.31,0.4,0.78,1.9400000000000002,1.3499999999999999,1.92,217.75,1
170,12.28,1.9100000000000001,2.48,18.32,84.53999999999999,1.04,-0.30000000000000004,0.43000000000000005,0.29,2.7399999999999993,0.5900000000000001,1.7400000000000002,347.24,2
171,13.42,4.67,2.2800000000000002,19.17,88.45,1.84,0.55,0.43999999999999995,0.88,3.8200000000000003,0.8500000000000001,1.8699999999999999,471.76,2
172,12.59,1.42,3.0700000000000003,23.12,115.96000000000001,2.28,2.12,0.39999999999999997,1.5999999999999999,2.27,0.9999999999999999,2.8000000000000003,652.64,0
173,12.78,3.6,2.09,17.98,111.37,1.21,0.08999999999999997,0.35,1.0,8.799999999999999,0.44999999999999996,1.1300000000000001,644.65,2
174,12.26,2.9499999999999997,2.21,19.71,98.33,1.3599999999999999,0.6599999999999999,0.1,0.53,3.76,0.66,0.91,431.0,2
175,13.069999999999999,1.3499999999999999,2.77,14.64,106.33,2.44,2.42,0.31000000000000005,1.2100000000000002,4.01,1.03,2.5999999999999996,799.1800000000001,0
176,13.39,5.21,2.3400000000000003,19.2,89.43,1.44,0.21999999999999997,0.47000000000000003,0.8400000000000001,6.8,0.55,1.46,617.14,2
